Arquivo,Tipo,Tamanho,Media_Tempo(s),Desvio_Padrao(s),Complexidade_Teorica
entrada_aleatoria_10000.txt,aleatoria,10000,0.001567,0.000844,0.001567
entrada_aleatoria_50000.txt,aleatoria,50000,0.007500,0.000619,0.007500
entrada_aleatoria_100000.txt,aleatoria,100000,0.014967,0.001224,0.014967
entrada_ordenada_crescente_10000.txt,ordenada_crescente,10000,0.000900,0.000651,0.000900
entrada_ordenada_crescente_50000.txt,ordenada_crescente,50000,0.004000,0.000516,0.004000
entrada_ordenada_crescente_100000.txt,ordenada_crescente,100000,0.008167,0.000820,0.008167
entrada_ordenada_decrescente_10000.txt,ordenada_decrescente,10000,0.000900,0.000831,0.000900
entrada_ordenada_decrescente_50000.txt,ordenada_decrescente,50000,0.005533,0.001586,0.005533
entrada_ordenada_decrescente_100000.txt,ordenada_decrescente,100000,0.008433,0.000844,0.008433
entrada_quase_ordenada_10000.txt,quase_ordenada,10000,0.001100,0.000651,0.001100
entrada_quase_ordenada_50000.txt,quase_ordenada,50000,0.004833,0.000522,0.004833
entrada_quase_ordenada_100000.txt,quase_ordenada,100000,0.009400,0.000987,0.009400
entrada_com_duplicatas_10000.txt,com_duplicatas,10000,0.001567,0.001146,0.001567
entrada_com_duplicatas_50000.txt,com_duplicatas,50000,0.007033,0.000605,0.007033
entrada_com_duplicatas_100000.txt,com_duplicatas,100000,0.014900,0.000943,0.014900
